id,ref,subject,description,sprint_id,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,swimlane,ux-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,generated_from_task,from_task_ref,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason,Business Value
3872017,1,Home page,As a user i want to create a home page so that i can navigate to required pages,308887,sprint 1,2022-02-05,2022-02-11,yashwanthdantanoor1,Yashwanth Dantanoor,,,,,New,False,,4.0,4.0,1644123849589176,1,1644123849616050,2022-02-06 05:04:09.616065+00:00,2022-02-09 02:46:30.996981+00:00,,False,False,0,,,,,"25,26,27",,[],0,,,
3872023,2,Add players,As a user i want add players so that people can participate in the planning poker exercise,308887,sprint 1,2022-02-05,2022-02-11,yashwanthdantanoor1,Yashwanth Dantanoor,,,,,New,False,,2.0,2.0,1644127718307524,2,1644127305481338,2022-02-06 06:01:45.481347+00:00,2022-02-09 02:45:11.834760+00:00,,False,False,0,,,,,"28,34",,[],0,,,
3872024,3,View current players,AS a developer i want to create a page so that i can view current players list,308887,sprint 1,2022-02-05,2022-02-11,yashwanthdantanoor1,Yashwanth Dantanoor,,,,,New,False,,2.0,2.0,1644127360418452,3,1644127360446189,2022-02-06 06:02:40.446203+00:00,2022-02-09 02:46:40.118354+00:00,,False,False,0,,,,,"30,31",,[],0,,,
3872025,4,Remove players,As a user i want to remove players from the game so that I can remove existing players and add new players for the exercise,308887,sprint 1,2022-02-05,2022-02-11,yashwanthdantanoor1,Yashwanth Dantanoor,,,,,New,False,,2.0,2.0,1644127656031654,4,1644127656061684,2022-02-06 06:07:36.061697+00:00,2022-02-09 02:46:45.020293+00:00,,False,False,0,,,,,"32,33",,[],0,,,
3872026,5,Start game,As a developer I want to create a button so that i can start the game,,,,,yashwanthdantanoor1,Yashwanth Dantanoor,,,,,New,False,,,,1644127718307523,1644127718307607,1644127718337717,2022-02-06 06:08:38.337726+00:00,2022-02-06 06:08:38.356198+00:00,,False,False,0,,,,,,,[],0,,,
3872027,6,Current Votes,As a developer i want to create a log so that i can view current votes,,,,,yashwanthdantanoor1,Yashwanth Dantanoor,,,,,New,False,,,,1644127718307525,1644127840340574,1644127840372594,2022-02-06 06:10:40.372621+00:00,2022-02-06 06:12:29.615250+00:00,,False,False,0,,,,,,,[],0,,,
3872028,7,Reset votes,As a developer i want to create a log so that i can reset the votes on an issue,,,,,yashwanthdantanoor1,Yashwanth Dantanoor,,,,,New,False,,,,1644128030240113,1644128030240181,1644128030268679,2022-02-06 06:13:50.268690+00:00,2022-02-06 06:13:50.285864+00:00,,False,False,0,,,,,,,[],0,,,
3872867,8,start a new game,,,,,,subra1997,Subramanian Arunachalam,,,,,New,False,,,,1644200101687419,1644200101687483,1644200101721196,2022-02-07 02:15:01.721212+00:00,2022-02-07 02:15:01.741017+00:00,,False,False,0,,,,,,,[],0,,,
3872869,9,Vote an Issue,,,,,,subra1997,Subramanian Arunachalam,,,,,New,False,,,,1644200101687425,1644200133636270,1644200133663480,2022-02-07 02:15:33.663517+00:00,2022-02-07 02:15:33.680778+00:00,,False,False,0,,,,,,,[],0,,,
3872870,10,View current Issue,,,,,,subra1997,Subramanian Arunachalam,,,,,New,False,,,,1644200101687426,1644200150086761,1644200150117579,2022-02-07 02:15:50.117592+00:00,2022-02-07 02:15:50.137549+00:00,,False,False,0,,,,,,,[],0,,,
