id,ref,subject,description,sprint_id,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,swimlane,ux-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,generated_from_task,from_task_ref,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason,Business Value
3871228,4,Replace hardcoded values with configurable properties,"As a user, I want to be able to configure different values in the simulation such as start date and end date so I can change the simulation to fit my exact needs.",310925,Sprint 3,2022-02-19,2022-02-25,dazinn,Dallas,,,,,New,False,,8.0,8.0,1644019813003595,2,1644019813030987,2022-02-05 00:10:13.030996+00:00,2022-02-19 19:31:17.748316+00:00,,False,False,0,,,,,"41,44,45,46",type 4,[],0,,,large
3871231,5,Make GUI sounds configurable,"As a user, I want to toggle the GUI sounds on or off so I can turn them off.",310925,Sprint 3,2022-02-19,2022-02-25,dazinn,Dallas,,,,,New,True,,2.0,2.0,1644020379065736,3,1644020379096298,2022-02-05 00:19:39.096309+00:00,2022-02-19 19:35:41.856649+00:00,2022-02-23 04:28:58.336331+00:00,False,False,0,,,,,42,type 2,[],0,,,x-large
3871232,6,Add business value to the simulation,"As a user, I want to add business value to the user stories so I can see how that changes in the simulation.",309597,Sprint 2,2022-02-12,2022-02-18,dazinn,Dallas,,,,,New,True,,3.0,3.0,1644020520966282,1,1644020520996345,2022-02-05 00:22:00.996354+00:00,2022-02-12 00:47:30.325449+00:00,2022-02-18 06:12:14.582235+00:00,False,False,0,,,,,34,type 1,[],0,,,large
3871233,7,Add more user story keywords to simulation,"As a developer, I want to add a larger variety of user stories so the user stories that are randomly generated are more diverse.",309001,Sprint 1,2022-02-05,2022-02-11,dazinn,Dallas,,,,,New,True,,2.0,2.0,1644020707303334,1,1644020707333812,2022-02-05 00:25:07.333820+00:00,2022-02-10 03:34:53.099345+00:00,2022-02-11 22:02:29.335805+00:00,False,False,0,,,,,"22,29,30",type 1,[],0,,,small
3871234,8,Pause the simulation,"As a user, I want to pause the simulation so I can inspect what is happening at any moment in time.",309597,Sprint 2,2022-02-12,2022-02-18,dazinn,Dallas,,,,,New,True,,3.0,3.0,1644020761076245,2,1644020761108975,2022-02-05 00:26:01.108988+00:00,2022-02-12 00:49:51.871672+00:00,2022-02-17 15:05:25.685985+00:00,False,False,0,,,,,"37,39",type 1,[],0,,,large
3871235,9,Rewind the simulation,"As a user, I want to rewind the simulation so I can inspect the previous state of things.",,,,,dazinn,Dallas,,,,,New,False,,,,1644020806985820,1644020806985899,1644020807012892,2022-02-05 00:26:47.012902+00:00,2022-02-05 00:26:47.030652+00:00,,False,False,0,,,,,,type 1,[],0,,,
3871237,10,"Switch between ""burn down"" and ""burn up"" charts","As a user, I want to switch the chart between burndown and burnup so I can view progress in a way that makes sense to me.",,,,,dazinn,Dallas,,,,,New,False,,3.0,3.0,1644022406055641,4,1644020955121617,2022-02-05 00:29:15.121627+00:00,2022-02-12 00:55:14.575482+00:00,,False,False,0,,,,,"36,38",type 2,[],0,,,medium
3871238,11,Add business value chart,"As a user, I want to see a business value chart like the storypoints chart so I can measure progress in terms of BV.",,,,,dazinn,Dallas,,,,,New,False,,,,1644021024213456,1644021024213527,1644021024243200,2022-02-05 00:30:24.243209+00:00,2022-02-05 00:30:24.262130+00:00,,False,False,0,,,,,,type 2,[],0,,,
3871240,12,Import Taiga project via API,"As a developer, I want to be able to access a public project on Taiga via the API.",310925,Sprint 3,2022-02-19,2022-02-25,dazinn,Dallas,,,,,New,False,,5.0,5.0,1644022406055642,1,1644021092615799,2022-02-05 00:31:32.615811+00:00,2022-02-12 00:53:43.560259+00:00,,False,False,0,,,,,"31,32",type 3,[],0,,,small
3871241,13,Log information to logfile,"As a user, I want to output log information to a logfile instead of the console so I can review it later.",309597,Sprint 2,2022-02-12,2022-02-18,dazinn,Dallas,,,,,New,True,,3.0,3.0,1644021263090247,5,1644021263118851,2022-02-05 00:34:23.118863+00:00,2022-02-12 00:57:26.983755+00:00,2022-02-18 14:36:16.204044+00:00,False,False,0,,,,,"33,35",type 4,[],0,,,small
3871243,14,Save Taiga API Credentials,"As a Taiga user, I want to be able to save my Taiga credentials to the application so that I don't have to retype my credentials each time.",309001,Sprint 1,2022-02-05,2022-02-11,alexsmbaratti,Alex Baratti,,,,,New,True,,5.0,5.0,1644021263090249,3,1644022062417479,2022-02-05 00:47:42.417487+00:00,2022-02-10 03:35:30.006064+00:00,2022-02-11 21:12:29.282190+00:00,False,False,0,,,,,"23,24,25",type 3,[361112],0,,,large
3871245,15,Store project info from the Taiga API,"As a developer, I want to store relevant information from the Taiga API so I can use it in the future.",,,,,dazinn,Dallas,,,,,New,False,,,,1644022217911989,1644022217912037,1644022217942572,2022-02-05 00:50:17.942582+00:00,2022-02-05 00:50:17.961017+00:00,,False,False,0,,,,,,type 3,[],0,,,
3871246,16,Load simulation using Taiga project,"As a user, I want to load the simulation based on a real project on Taiga so that I can simulate that project.",,,,,dazinn,Dallas,,,,,New,False,,,,1644022292081156,1644022292081238,1644022292112440,2022-02-05 00:51:32.112452+00:00,2022-02-05 00:51:32.132638+00:00,,False,False,0,,,,,,type 3,[],0,,,
3871247,17,Add incremental step-through simulation feature,"As a user, I want to step through the sprint simulation incrementally so that I can control the progress of the simulation.",310925,Sprint 3,2022-02-19,2022-02-25,NTROBIN1,Nathan Robinson,,,,,New,True,,1.0,1.0,1644022406055640,4,1644022406092382,2022-02-05 00:53:26.092393+00:00,2022-02-19 19:39:30.651967+00:00,2022-02-22 17:32:45.272342+00:00,False,False,0,,,,,43,type 1,[],0,,,large
3871248,18,"Fix ""doneDay must not be less than startedDay"" bug","As a user, I want to be able to click the start simulation button again after running a simulation without the exception occurring so this bug doesn't exist.",309001,Sprint 1,2022-02-05,2022-02-11,dazinn,Dallas,,,,,New,True,,3.0,3.0,1644022602300063,4,1644022602329672,2022-02-05 00:56:42.329683+00:00,2022-02-10 03:35:11.578750+00:00,2022-02-10 04:42:49.176677+00:00,False,False,0,,,,,26,type 4,[],0,,,medium
3871255,19,Add menu bar to access features,"As a user, I want a menu bar at the top of the simulation so I can access secondary features of the application.",309001,Sprint 1,2022-02-05,2022-02-11,NTROBIN1,Nathan Robinson,,,,,New,True,,3.0,3.0,1644022970636147,2,1644022970666792,2022-02-05 01:02:50.666803+00:00,2022-02-10 03:35:24.270200+00:00,2022-02-10 03:52:38.450604+00:00,False,False,0,,,,,"20,21",type 2,[],0,,,medium
