id,ref,subject,description,sprint_id,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,swimlane,ux-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,generated_from_task,from_task_ref,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason,Business Value
3871014,5,As a user I want to export my data to save it for a later time,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,5.0,5.0,1644006190648813,2,1644006190648479,2022-02-04 20:23:10.648491+00:00,2022-02-04 20:26:20.911000+00:00,,False,False,0,,,,,,3,[],0,,,
3871015,6,As a user I want to be able to see a section with the chart information.,,308732,Sprint 1,2022-02-05,2022-02-11,rbjacks3,Rephael B Jackson,,,,,New,True,,3.0,3.0,1644006190648811,3,1644006190648707,2022-02-04 20:23:10.648711+00:00,2022-02-11 02:57:31.499289+00:00,2022-02-11 20:11:57.012722+00:00,False,False,0,,,,,"36,37",2,[],0,,,medium
3871016,7,As a user I want to see a log of the key events that happen during the simulation,,308732,Sprint 1,2022-02-05,2022-02-11,rbjacks3,Rephael B Jackson,,,,,New,True,,2.0,2.0,1644006190648810,1,1644006190648816,2022-02-04 20:23:10.648819+00:00,2022-02-10 23:35:12.830718+00:00,2022-02-11 20:12:19.482448+00:00,False,False,0,,,,,34,4,[],0,,,small
3871017,8,As a user I want to assign the velocity of an individual team member,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,1.0,1.0,1644006190648814,1644006190648916,1644006190648918,2022-02-04 20:23:10.648926+00:00,2022-02-04 20:31:57.247977+00:00,,False,False,0,,,,,,1,[],0,,,
3871018,9,"As a product owner, I want the ability to add a new team to the simulation",,308734,Sprint 3,2022-02-19,2022-02-25,rbjacks3,Rephael B Jackson,,,,,New,True,,5.0,5.0,1644006190648816,5,1644006190649023,2022-02-04 20:23:10.649026+00:00,2022-02-19 20:29:03.826485+00:00,2022-02-24 16:09:24.680755+00:00,False,False,0,,,,,"60,61",1,[],0,,,large
3871019,10,As a product owner I want to be able to create a new strategy for a sprint simulation,,308733,Sprint 2,2022-02-12,2022-02-18,rbjacks3,Rephael B Jackson,,,,,New,True,,5.0,5.0,1644006190648814,3,1644006190649124,2022-02-04 20:23:10.649127+00:00,2022-02-04 20:33:20.688835+00:00,2022-02-18 04:26:39.472571+00:00,False,False,0,,,,,"44,45",1,[],0,,,large
3871020,11,"As a product owner, I want to be able to edit an existing strategy for a sprint simulation",,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,3.0,3.0,1644006190648815,4,1644006190649222,2022-02-04 20:23:10.649226+00:00,2022-02-19 20:26:20.676468+00:00,,False,False,0,,,,,"57,58,59",1,[],0,,,medium
3871021,12,"As a Scrum Master, I want to have the simulation play day by day and have the days stored so I may reflect on the progress on a specific day",,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,3.0,3.0,1644006190648816,1644006190649319,1644006190649321,2022-02-04 20:23:10.649324+00:00,2022-02-04 20:34:45.038415+00:00,,False,False,0,,,,,,1,[],0,,,
3871022,13,"As a Scrum Master, I want the ability to be able create task for given user story.",,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,5.0,5.0,1644006190648817,1644006190649417,1644006190649420,2022-02-04 20:23:10.649423+00:00,2022-02-04 20:38:15.948984+00:00,,False,False,0,,,,,,1,[],0,,,
3871023,14,"As a Scrum Master, I want the ability to be able edit a task for given user story.",,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,2.0,2.0,1644006190648818,1644006190649538,1644006190649541,2022-02-04 20:23:10.649544+00:00,2022-02-04 20:42:52.577652+00:00,,False,False,0,,,,,,1,[],0,,,
3871024,15,"As a Scrum Master, I want business value for user stories and add it to the final Backlog log",,308734,Sprint 3,2022-02-19,2022-02-25,rbjacks3,Rephael B Jackson,,,,,New,True,,3.0,3.0,1644006190648821,6,1644006190649654,2022-02-04 20:23:10.649658+00:00,2022-02-19 20:30:22.956810+00:00,2022-02-24 06:09:56.988190+00:00,False,False,0,,,,,64,2,[],0,,,small
3871025,16,"As a Scrum Master, I want a happiness value for user stories",,308733,Sprint 2,2022-02-12,2022-02-18,rbjacks3,Rephael B Jackson,,,,,New,False,,2.0,2.0,1644006190648815,5,1644006190649821,2022-02-04 20:23:10.649826+00:00,2022-02-12 20:35:52.604751+00:00,,False,False,0,,,,,"49,51",2,[],0,,,small
3871026,17,"As a scrum master, I want to be able to switch the burndown chart to a burnup chart",,308733,Sprint 2,2022-02-12,2022-02-18,rbjacks3,Rephael B Jackson,,,,,New,True,,1.0,1.0,1644006190648821,1,1644006190649951,2022-02-04 20:23:10.649955+00:00,2022-02-12 20:32:35.434266+00:00,2022-02-18 17:17:44.736371+00:00,False,False,0,,,,,43,"2,1",[],0,,,medium
3871027,18,"As a scrum Master, I want to be able to see the ideal burndown",,308733,Sprint 2,2022-02-12,2022-02-18,rbjacks3,Rephael B Jackson,prosam,Sambuddha Nath,prosam,Sambuddha Nath,New,False,,3.0,3.0,1644006190648814,4,1644006190650072,2022-02-04 20:23:10.650076+00:00,2022-02-12 21:26:44.266322+00:00,,False,False,0,,,,,"47,48",2,[],0,,,medium
3871028,19,As a Scrum Master I want to be able to download a taiga board,,308732,Sprint 1,2022-02-05,2022-02-11,rbjacks3,Rephael B Jackson,,,,,New,True,,2.0,2.0,1644006190648822,4,1644006190650193,2022-02-04 20:23:10.650197+00:00,2022-02-04 20:39:31.445429+00:00,2022-02-10 02:00:46.138603+00:00,False,False,0,,,,,"31,38",3,[],0,,,large
3871029,20,As a Scrum Master I want to be able to import data from a taiga board,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,3.0,3.0,1644006190648819,1644006190650314,1644006190650317,2022-02-04 20:23:10.650321+00:00,2022-02-04 20:47:42.289835+00:00,,False,False,0,,,,,,3,[],0,,,
3871030,21,As a Scrum Master I want to add epics to the simulation,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,5.0,5.0,1644006190648820,1644006190650437,1644006190650439,2022-02-04 20:23:10.650443+00:00,2022-02-04 20:48:08.604757+00:00,,False,False,0,,,,,,1,[],0,,,
3871031,22,As a Scrum Master I want to edit epic in the simulation,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,2.0,2.0,1644006190648821,1644006190650571,1644006190650573,2022-02-04 20:23:10.650576+00:00,2022-02-04 20:48:40.966648+00:00,,False,False,0,,,,,,1,[],0,,,
3871032,23,As a Scrum Master I want less broken down User Stories generated,,308734,Sprint 3,2022-02-19,2022-02-25,rbjacks3,Rephael B Jackson,,,,,New,True,,3.0,3.0,1644006190648822,8,1644006190650706,2022-02-04 20:23:10.650710+00:00,2022-02-04 20:50:34.612758+00:00,2022-02-25 20:34:32.018218+00:00,False,False,0,,,,,"71,72,73",1,[],0,,,
3871033,24,As a Scrum Master I want to add Blockers to the simulation,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,5.0,5.0,1644006190648823,1644006190650838,1644006190650840,2022-02-04 20:23:10.650844+00:00,2022-02-04 20:51:04.231191+00:00,,False,False,0,,,,,,1,[],0,,,
3871034,25,As a Scrum Master I want to add Spikes to the simulation,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,5.0,5.0,1644006190648824,1644006190650973,1644006190650976,2022-02-04 20:23:10.650980+00:00,2022-02-04 20:51:38.720279+00:00,,False,False,0,,,,,,1,[394598],0,,,
3871035,26,As a Scrum Master I want to add story less tasks to the simulation,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,3.0,3.0,1644006190648825,1644006190651095,1644006190651098,2022-02-04 20:23:10.651102+00:00,2022-02-04 20:52:30.945306+00:00,,False,False,0,,,,,,1,[],0,,,
3871036,27,As a Scrum Master I want to be able to import a simulation,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,34.0,34.0,1644006190648826,1644006190651218,1644006190651221,2022-02-04 20:23:10.651225+00:00,2022-02-04 20:53:44.824098+00:00,,False,False,0,,,,,,3,[],0,,,
3871037,28,As a Developer I want to fix the existing bugs when running a simulation,,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,5.0,5.0,1644006190648827,1644006190651340,1644006190651343,2022-02-04 20:23:10.651348+00:00,2022-02-04 20:55:36.457487+00:00,,False,False,0,,,,,,4,[394598],0,,,
3871038,29,As a Scrum master I want a properties file for the application.,,308732,Sprint 1,2022-02-05,2022-02-11,rbjacks3,Rephael B Jackson,,,,,New,True,,3.0,3.0,1644006190648833,2,1644006190651465,2022-02-04 20:23:10.651469+00:00,2022-02-04 20:56:20.748136+00:00,2022-02-10 15:02:06.524986+00:00,False,False,0,,,,,"32,33",1,[],0,,,small
3879652,40,"As a scrum master, I want specific things logged when they are loaded.",,,,,,rbjacks3,Rephael B Jackson,,,,,New,False,,2.0,2.0,1644006190648828,1644610402165532,1644610402203909,2022-02-11 20:13:22.203920+00:00,2022-02-12 19:32:10.832295+00:00,,False,False,0,,,,,,4,[],0,,,
3880303,41,As a user a I want a file Menu for the program,,308733,Sprint 2,2022-02-12,2022-02-18,rbjacks3,Rephael B Jackson,,,,,New,True,,2.0,2.0,1644692928015130,6,1644692928047998,2022-02-12 19:08:48.048013+00:00,2022-02-12 20:49:57.540540+00:00,2022-02-14 03:16:05.699517+00:00,False,False,0,,,,,52,2,[],0,,,small
